"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_STATUS_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2019","West Suffolk","E07000245","46 : Wholesale trade, except of motor vehicles and motorcycles","Employees","Industry percentage","Value",4.0,"Normal Value"
"2019","West Suffolk","E07000245","46 : Wholesale trade, except of motor vehicles and motorcycles","Full-time employees","Count","Value",3500,"Normal Value"
"2019","West Suffolk","E07000245","46 : Wholesale trade, except of motor vehicles and motorcycles","Full-time employees","Industry percentage","Value",5.1,"Normal Value"
"2019","West Suffolk","E07000245","46 : Wholesale trade, except of motor vehicles and motorcycles","Part-time employees","Count","Value",600,"Normal Value"
"2019","West Suffolk","E07000245","46 : Wholesale trade, except of motor vehicles and motorcycles","Part-time employees","Industry percentage","Value",2.0,"Normal Value"
"2019","West Suffolk","E07000245","47 : Retail trade, except of motor vehicles and motorcycles","Employees","Count","Value",8000,"Normal Value"
"2019","West Suffolk","E07000245","47 : Retail trade, except of motor vehicles and motorcycles","Employees","Industry percentage","Value",8.1,"Normal Value"
"2019","West Suffolk","E07000245","47 : Retail trade, except of motor vehicles and motorcycles","Full-time employees","Count","Value",3000,"Normal Value"
"2019","West Suffolk","E07000245","47 : Retail trade, except of motor vehicles and motorcycles","Full-time employees","Industry percentage","Value",4.3,"Normal Value"
"2019","West Suffolk","E07000245","47 : Retail trade, except of motor vehicles and motorcycles","Part-time employees","Count","Value",5000,"Normal Value"
"2019","West Suffolk","E07000245","47 : Retail trade, except of motor vehicles and motorcycles","Part-time employees","Industry percentage","Value",16.7,"Normal Value"
"2019","West Suffolk","E07000245","49 : Land transport and transport via pipelines","Employees","Count","Value",1250,"Normal Value"
"2019","West Suffolk","E07000245","49 : Land transport and transport via pipelines","Employees","Industry percentage","Value",1.3,"Normal Value"
"2019","West Suffolk","E07000245","49 : Land transport and transport via pipelines","Full-time employees","Count","Value",1000,"Normal Value"
"2019","West Suffolk","E07000245","49 : Land transport and transport via pipelines","Full-time employees","Industry percentage","Value",1.4,"Normal Value"
"2019","West Suffolk","E07000245","49 : Land transport and transport via pipelines","Part-time employees","Count","Value",400,"Normal Value"
"2019","West Suffolk","E07000245","49 : Land transport and transport via pipelines","Part-time employees","Industry percentage","Value",1.3,"Normal Value"
"2019","West Suffolk","E07000245","50 : Water transport","Employees","Count","Value",0,"Normal Value"
"2019","West Suffolk","E07000245","50 : Water transport","Employees","Industry percentage","Value",0.0,"Normal Value"
"2019","West Suffolk","E07000245","50 : Water transport","Full-time employees","Count","Value",0,"Normal Value"
"2019","West Suffolk","E07000245","50 : Water transport","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2019","West Suffolk","E07000245","50 : Water transport","Part-time employees","Count","Value",0,"Normal Value"
"2019","West Suffolk","E07000245","50 : Water transport","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2019","West Suffolk","E07000245","51 : Air transport","Employees","Count","Value",10,"Normal Value"
"2019","West Suffolk","E07000245","51 : Air transport","Employees","Industry percentage","Value",0.0,"Normal Value"
"2019","West Suffolk","E07000245","51 : Air transport","Full-time employees","Count","Value",10,"Normal Value"
"2019","West Suffolk","E07000245","51 : Air transport","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2019","West Suffolk","E07000245","51 : Air transport","Part-time employees","Count","Value",0,"Normal Value"
"2019","West Suffolk","E07000245","51 : Air transport","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2019","West Suffolk","E07000245","52 : Warehousing and support activities for transportation","Employees","Count","Value",1500,"Normal Value"
"2019","West Suffolk","E07000245","52 : Warehousing and support activities for transportation","Employees","Industry percentage","Value",1.5,"Normal Value"
"2019","West Suffolk","E07000245","52 : Warehousing and support activities for transportation","Full-time employees","Count","Value",1250,"Normal Value"
"2019","West Suffolk","E07000245","52 : Warehousing and support activities for transportation","Full-time employees","Industry percentage","Value",1.8,"Normal Value"
"2019","West Suffolk","E07000245","52 : Warehousing and support activities for transportation","Part-time employees","Count","Value",100,"Normal Value"
"2019","West Suffolk","E07000245","52 : Warehousing and support activities for transportation","Part-time employees","Industry percentage","Value",0.3,"Normal Value"
"2019","West Suffolk","E07000245","53 : Postal and courier activities","Employees","Count","Value",600,"Normal Value"
"2019","West Suffolk","E07000245","53 : Postal and courier activities","Employees","Industry percentage","Value",0.6,"Normal Value"
"2019","West Suffolk","E07000245","53 : Postal and courier activities","Full-time employees","Count","Value",500,"Normal Value"
"2019","West Suffolk","E07000245","53 : Postal and courier activities","Full-time employees","Industry percentage","Value",0.7,"Normal Value"
"2019","West Suffolk","E07000245","53 : Postal and courier activities","Part-time employees","Count","Value",75,"Normal Value"
"2019","West Suffolk","E07000245","53 : Postal and courier activities","Part-time employees","Industry percentage","Value",0.2,"Normal Value"
"2019","West Suffolk","E07000245","55 : Accommodation","Employees","Count","Value",2500,"Normal Value"
"2019","West Suffolk","E07000245","55 : Accommodation","Employees","Industry percentage","Value",2.5,"Normal Value"
"2019","West Suffolk","E07000245","55 : Accommodation","Full-time employees","Count","Value",900,"Normal Value"
"2019","West Suffolk","E07000245","55 : Accommodation","Full-time employees","Industry percentage","Value",1.3,"Normal Value"
"2019","West Suffolk","E07000245","55 : Accommodation","Part-time employees","Count","Value",1750,"Normal Value"
"2019","West Suffolk","E07000245","55 : Accommodation","Part-time employees","Industry percentage","Value",5.8,"Normal Value"
"2019","West Suffolk","E07000245","56 : Food and beverage service activities","Employees","Count","Value",4500,"Normal Value"
"2019","West Suffolk","E07000245","56 : Food and beverage service activities","Employees","Industry percentage","Value",4.5,"Normal Value"
"2019","West Suffolk","E07000245","56 : Food and beverage service activities","Full-time employees","Count","Value",1750,"Normal Value"
"2019","West Suffolk","E07000245","56 : Food and beverage service activities","Full-time employees","Industry percentage","Value",2.5,"Normal Value"
"2019","West Suffolk","E07000245","56 : Food and beverage service activities","Part-time employees","Count","Value",2500,"Normal Value"
"2019","West Suffolk","E07000245","56 : Food and beverage service activities","Part-time employees","Industry percentage","Value",8.3,"Normal Value"
"2019","West Suffolk","E07000245","58 : Publishing activities","Employees","Count","Value",175,"Normal Value"
"2019","West Suffolk","E07000245","58 : Publishing activities","Employees","Industry percentage","Value",0.2,"Normal Value"
"2019","West Suffolk","E07000245","58 : Publishing activities","Full-time employees","Count","Value",125,"Normal Value"
"2019","West Suffolk","E07000245","58 : Publishing activities","Full-time employees","Industry percentage","Value",0.2,"Normal Value"
"2019","West Suffolk","E07000245","58 : Publishing activities","Part-time employees","Count","Value",30,"Normal Value"
"2019","West Suffolk","E07000245","58 : Publishing activities","Part-time employees","Industry percentage","Value",0.1,"Normal Value"
"2019","West Suffolk","E07000245","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Employees","Count","Value",150,"Normal Value"
"2019","West Suffolk","E07000245","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Employees","Industry percentage","Value",0.2,"Normal Value"
"2019","West Suffolk","E07000245","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Full-time employees","Count","Value",50,"Normal Value"
"2019","West Suffolk","E07000245","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2019","West Suffolk","E07000245","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Part-time employees","Count","Value",100,"Normal Value"
"2019","West Suffolk","E07000245","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Part-time employees","Industry percentage","Value",0.3,"Normal Value"
"2019","West Suffolk","E07000245","60 : Programming and broadcasting activities","Employees","Count","Value",10,"Normal Value"
"2019","West Suffolk","E07000245","60 : Programming and broadcasting activities","Employees","Industry percentage","Value",0.0,"Normal Value"
"2019","West Suffolk","E07000245","60 : Programming and broadcasting activities","Full-time employees","Count","Value",10,"Normal Value"
"2019","West Suffolk","E07000245","60 : Programming and broadcasting activities","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2019","West Suffolk","E07000245","60 : Programming and broadcasting activities","Part-time employees","Count","Value",0,"Normal Value"
"2019","West Suffolk","E07000245","60 : Programming and broadcasting activities","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2019","West Suffolk","E07000245","61 : Telecommunications","Employees","Count","Value",225,"Normal Value"
"2019","West Suffolk","E07000245","61 : Telecommunications","Employees","Industry percentage","Value",0.2,"Normal Value"
"2019","West Suffolk","E07000245","61 : Telecommunications","Full-time employees","Count","Value",200,"Normal Value"
"2019","West Suffolk","E07000245","61 : Telecommunications","Full-time employees","Industry percentage","Value",0.3,"Normal Value"
"2019","West Suffolk","E07000245","61 : Telecommunications","Part-time employees","Count","Value",15,"Normal Value"
"2019","West Suffolk","E07000245","61 : Telecommunications","Part-time employees","Industry percentage","Value",0.1,"Normal Value"
